date,fulltext_clean,section_name,sentiment_GOLD
2012-07-30,"apple-samsung patent battle shifts to trial a trial opening monday is the latest phase in a global campaign of smartphone patent litigation whose importance goes beyond legal maneuvering. patent trials are part bombast, part boredom. lurid accusations of corporate skulduggery and deceit quickly give way to a mind-numbing slog through the technical details and vague language of patent claims.",Technology,-1
2004-04-12,"24-hour test drives seem to pass carmakers' test as a sales tool automakers whose big cash incentives are losing some of their power to attract buyers are extending 24-hour test drives and other hands-on marketing programs, particularly for featured new models that they would rather not sell at steep discount; general motors lets potential customers take car home overnight so they can better see how much cargo it carries, how their children fit in back seat, or how neighbors react; volkswagen and ford are offering their own versions of 24-hour test drive, at least for their luxury makes; charts; photo (m) with big cash incentives appearing to lose some of their power to attract uyers, general motors and several other automakers are extending 24-hour test drives and other hands-on marketing programs, particularly for featured new models that they would rather not sell at a steep discount.",Business Day,-1
2007-04-24,"china yields to inquiry on pet food china has given u.s. regulators permission to investigate whether suppliers exported contaminated pet food ingredients to the u.s. beijing, april 23 — china on monday has given american regulators permission to enter the country to investigate whether chinese suppliers exported contaminated pet food ingredients to the united states earlier this year, leading to one of the largest pet food recalls in american history.",Business Day,0
2004-07-29,"i.r.s. says americans' income shrank for 2 consecutive years internal revenue service information shows overall income americans reported to government shrank two consecutive years, first time that has happened since modern tax system was introduced during world war ii; total adjusted gross income on tax returns fell 5.1 percent, to just over $6 trillion in 2000 from $6.35 trillion in 2000; average incomes declined even more, by 5.7 percent, because of population growth; income, adjusted for inflation, fell 9.2 percent from 2000 to 2002; graph (m) the overall income americans reported to the government shrank for two consecutive years after the internet stock market bubble burst in 2000, the first time that has effectively happened since the modern tax system was introduced during world war ii, newly disclosed information from the internal revenue service shows.",Business Day,0
2019-09-19,"whistle-blower complaint is said to involve trump and ukraine the complaint, from a member of the intelligence community, remained opaque but involved at least one of the president’s communications with a foreign leader. washington — a potentially explosive complaint by a whistle-blower in the intelligence community said to involve president trump emerged on thursday as the latest front in a continuing oversight dispute between administration officials and house democrats.",U.S.,0
2024-08-12,"spain is thirsty. here’s how it gets water. to supply water for a number of needs, from tourism to agriculture, the country and other dry nations are increasingly relying on desalination plants that convert seawater into fresh water. on a fiery hot day in late june, tourists filled the cafes and hotel rooms along spain’s mediterranean coast, including in torrevieja, a small city of tightly stacked apartment blocks running along a curved beach.",Business Day,0
2020-05-11,"joe biden’s time in sarah palin’s shadow what two strange months in 2008 taught the former vice president about the politics of grievance, and how that might help him pick a running mate of his own to take on donald trump. joe biden was getting the hang of being overshadowed. it was not a bad life.",U.S.,0
2011-12-26,"u.s. firms see opportunities in europe’s woes european regulators have ordered banks to raise capital and shrink their balance sheets, leading to the sale of assets to american businesses and financial firms. as europe struggles with its debt crisis, american businesses and financial firms are swooping in amid the distress, making loans and snapping up assets owned by banks there — from the mortgage on a luxury hotel in miami beach to the tallest office building in dublin.",Business Day,0
2014-10-03,"with dry taps and toilets, california drought turns desperate in tulare county, hit hard by a relentless drought, daily routines have been upended by the drying of wells and the disappearance of tap water. porterville, calif. — after a nine-hour day working at a citrus packing plant, her body covered in a sheen of fruit wax and dust, there is nothing angelica gallegos wants more than a hot shower, with steam to help clear her throat and lungs.",U.S.,0
2006-06-19,"a good chief just stays out of the way boeing's james mcnerney jr. let his executives execute the strategy that has put their proud company back on top. there aren't many chief executives with reputations as glowing as that of w. james mcnerney jr. of boeing. in the late 1990's, as a top executive at general electric, he was one of three contenders to succeed g.e.'s legendary boss, jack welch. although the winner of that bake-off, jeffrey r. immelt, has proved to be a worthy choice, mr. mcnerney, 56, still has lots of fans at general electric.",Business Day,0
2014-06-13,"u.s. scrambles to help iraq fight off militants as baghdad is threatened the white house hurried thursday to reassure iraq that it would help its beleaguered army fend off militants who have overrun much of the country and now threaten baghdad. washington — the white house, confronted by an unexpected crisis on a battlefield it thought it had left behind, scrambled thursday to reassure iraq that it would help its beleaguered army fend off militants who have overrun much of the country and now threaten baghdad.",World,0
2014-10-15,"samsung’s superior note 4 smartphone gives glimpse of computing’s future with a half dozen new features that will delight users, samsung’s latest smartphone may have its owners forgetting about all their other computers. in 2011 samsung unveiled a smartphone so big it looked as if it must have been a joke, a mistake or a turn toward conceptual art.",Technology,0
2016-02-02,"fury shakes the iowa caucuses, boosting ted cruz while slowing hillary clinton monday night’s results have confirmed that despite fissures that have divided right and left, voters are united in an impatience, even a revulsion, at what they see as a rigged system. des moines — fury carried ted cruz to victory. and it stopped hillary clinton from truly claiming one.",U.S.,0
2022-03-25,the respectful supreme court hearing that wasn’t republicans’ hostile interrogation of judge ketanji brown jackson and relentless re-litigating of past supreme court feuds marred a historic moment. washington — the republican manhandling of judge ketanji brown jackson this week was convincing evidence that the senate’s supreme court confirmation process is irredeemably broken.,U.S.,0
2013-12-12,"for no. 2 at fed, white house favors central banker in the bernanke mold the administration’s interest in stanley fischer appears to reflect a desire for continuity at the federal reserve. washington — stanley fischer, the former governor of the bank of israel and a mentor to the federal reserve’s chairman, ben s. bernanke, is the leading candidate to become vice chairman of the fed, according to former and current administration officials.",Business Day,0
2011-07-20,u.s. to close 800 computer data centers analysts estimate that thousands of jobs will be eliminated with the federal government’s plan to shut 40 percent of its computer centers over the next four years. the federal government plans to shut 40 percent of its computer centers over the next four years to reduce its hefty technology budget and modernize the way it uses computers to manage data and provide services to citizens.,Technology,0
2014-06-11,"once snubbed, david brat turns the tables mr. brat’s ability to connect with voters and the perception that eric cantor was not engaged in his district combined to deliver one of the most stunning upsets in modern political history. washington — three years ago, david brat, a conservative economics professor, decided to have a go at politics, making a run for a seat in the virginia house of delegates. but the back-room deal makers of his republican party snubbed him for someone chosen by allies of representative eric cantor, the majority leader.",U.S.,0
2007-11-19,"goldman sachs rakes in profit in credit crisis rarely on wall street, where money travels in herds, has one firm gotten it so right when nearly everyone else was getting it so wrong. for more than three months, as turmoil in the credit market has swept wildly through wall street, one mighty investment bank after another has been brought to its knees, leveled by multibillion-dollar blows to their bottom lines.",Business Day,0
2015-06-22,"cigna rejects an overture from anthem anthem’s $47 billion takeover bid for cigna comes as companies look to become even bigger to take advantage of the changes in the health insurance market. the world of american health insurance may soon become even smaller, with the biggest companies seeking to become even bigger.",Business Day,0
2012-04-06,"on jobs, obama and romney argue over fullness of the glass president obama on friday emphasized the last three months of job creation while mitt romney argued that mr. obama has been a failed economic steward. washington — it is fast becoming a monthly rite of the election season: the labor department issues a statistics-laden report on the job market, and president obama and his opponents mine the numbers for political advantage.",U.S.,0
2005-04-11,"a tax increase that bush didn't mention edmund andrews economic view column on alternative minimum tax, created in 1969 to prevent very rich from using tax deductions to avoid paying fair share of taxes; holds tax is giant undeclared tax increase that will ensnare tens of millions of moderate-income families in next several years; pres bush has ordered bipartisan advisory panel to develop changes as part of fundamental overhaul of tax code but has made it clear that recommendations are supposed to be 'revenue neutral,' neither raising nor lowering taxes, and to assume that his income-tax cuts will be made permanent rather than expire in 2010; graph (m) washington - cynics have long predicted that the bush administration, plagued by budget deficits, will eventually start raising taxes. but now it is becoming clear how it would do so: the alternative minimum tax.",Business Day,0
